player,team,games_played,at_bat,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strike_outs,stolen_bases,caught_stealing,batting_avg,on_base_percentage,slugging,ops
MarcusSemien,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
57,NYM,30,111,17,33,6,1,2,13,17,23,3,0,0.297,0.394,0.423,0.817
BrandonNimmo,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
58,AZ,29,110,16,29,6,0,7,25,7,22,1,0,0.264,0.306,0.509,0.815
ChristianWalker,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
59,TEX,29,112,24,28,4,0,8,31,10,27,1,0,0.25,0.307,0.5,0.807
AdolisGarcia,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
60,STL,29,91,14,24,4,1,4,10,10,16,3,1,0.264,0.343,0.462,0.805
TommyEdman,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
60,CHC,29,111,18,33,5,0,2,9,21,29,3,1,0.297,0.409,0.396,0.805
DansbySwanson,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
62,COL,27,103,11,31,4,0,3,8,10,21,0,0,0.301,0.374,0.427,0.801
KrisBryant,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
62,PIT,29,83,10,22,5,0,3,12,10,25,1,2,0.265,0.367,0.434,0.801
RodolfoCastro,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
64,KC,28,106,12,29,7,0,5,16,4,19,0,0,0.274,0.316,0.481,0.797
SalvadorPerez,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,
64,SEA,25,88,14,20,5,1,5,18,12,32,0,0,0.227,0.32,0.477,0.797
CalRaleigh,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,
66,COL,27,98,13,27,7,0,2,8,13,15,0,1,0.276,0.385,0.408,0.793
CharlieBlackmon,,,,,,,,,,,,,,,,,
DH,,,,,,,,,,,,,,,,,
67,SD,31,106,14,25,10,0,4,12,17,34,0,2,0.236,0.347,0.443,0.79
TrentGrisham,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
67,HOU,31,108,11,28,3,0,5,20,19,21,5,0,0.259,0.364,0.426,0.79
KyleTucker,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
69,BAL,30,103,14,26,4,2,3,23,19,21,11,0,0.252,0.369,0.417,0.786
CedricMullins,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
70,CIN,31,103,10,32,4,1,2,11,7,23,3,0,0.311,0.357,0.427,0.784
TJFriedl,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
71,TEX,30,117,21,30,10,0,4,20,14,28,0,0,0.256,0.338,0.444,0.782
NathanielLowe,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
72,CWS,30,111,13,28,10,0,3,20,14,27,0,0,0.252,0.357,0.423,0.78
AndrewVaughn,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
73,MIL,23,82,8,24,6,0,1,8,11,16,0,0,0.293,0.376,0.402,0.778
WilliamContreras,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,
74,LAA,29,99,13,24,5,1,6,18,5,34,0,1,0.242,0.28,0.495,0.775
BrandonDrury,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
75,KC,25,89,12,24,6,2,2,8,5,18,3,0,0.27,0.323,0.449,0.772
EdwardOlivares,,,,,,,,,,,,,,,,,
