player,team,w,l,era,g,gc,cg,sho,sv,svo,ip,h,r,er,hr,hb,bb,so,whip,avg
62,KC,1,4,5.18,8,8,0,0,0,0,41.2,48,26,24,8,0,7,27,1.32,0.287
ZackGreinke,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
63,BOS,3,2,5.26,7,7,0,0,0,0,37.2,36,23,22,4,0,14,33,1.33,0.254
TannerHouck,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
64,STL,1,1,5.4,8,8,0,0,0,0,41.2,57,26,25,7,3,12,41,1.66,0.324
MilesMikolas,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
65,OAK,0,3,5.54,7,7,0,0,0,0,37.1,36,23,23,10,3,8,38,1.18,0.254
JPSears,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
66,CWS,2,2,5.58,8,8,0,0,0,0,40.1,41,30,25,5,5,20,49,1.51,0.253
DylanCease,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
67,PIT,2,3,5.59,7,7,0,0,0,0,37,45,26,23,3,0,15,33,1.62,0.288
JohanOviedo,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
68,PHI,0,6,5.75,7,7,0,0,0,0,36,42,24,23,6,0,8,26,1.39,0.29
BaileyFalter,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
69,CWS,1,3,5.97,7,7,0,0,0,0,37.2,37,25,25,12,3,22,36,1.57,0.259
MichaelKopech,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
70,AZ,1,2,6,7,7,0,0,0,0,36,45,25,24,5,0,10,22,1.53,0.315
RyneNelson,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
71,STL,2,4,6.51,8,8,0,0,0,0,37.1,38,29,27,6,4,25,38,1.69,0.279
JackFlaherty,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
72,KC,0,5,6.69,7,7,0,0,0,0,40.1,42,34,30,11,1,14,30,1.39,0.261
JordanLyles,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
73,CWS,1,4,6.86,7,7,0,0,0,0,39.1,45,30,30,9,1,15,50,1.53,0.283
LanceLynn,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
